DATA:,NODE #95,
,,
FROM:,01-05-2019 05:52,
TO:,04-09-2019 05:52,
,,
SENSOR:,Soil moisture,%
VALUE, TIMESTAMP,
0.2,26-05-2019 06:22,
0.2,26-05-2019 09:13,
0.2,26-05-2019 09:15,
0.2,26-05-2019 09:20,
0.2,26-05-2019 12:11,
0.2,26-05-2019 15:10,
0.2,26-05-2019 15:12,
0.2,26-05-2019 18:09,
0.2,26-05-2019 21:07,
0.2,27-05-2019 00:06,
0.2,27-05-2019 03:04,
0.2,27-05-2019 06:03,
0.2,27-05-2019 09:02,
0,27-05-2019 12:00,
0.2,27-05-2019 14:59,
0.2,27-05-2019 15:01,
0.2,27-05-2019 17:58,
0.2,27-05-2019 20:56,
0.2,27-05-2019 20:58,
0.2,27-05-2019 21:04,
0.2,27-05-2019 23:55,
0.2,27-05-2019 23:57,
0.2,28-05-2019 00:02,
0.2,28-05-2019 02:53,
0.2,28-05-2019 05:52,
0.2,28-05-2019 08:50,
0.2,28-05-2019 11:49,
0.2,28-05-2019 11:52,
0.2,28-05-2019 11:57,
0.2,28-05-2019 14:48,
0.4,28-05-2019 17:46,
0.4,28-05-2019 20:45,
0.4,28-05-2019 20:47,
0.2,28-05-2019 23:43,
0.2,29-05-2019 02:42,
0.2,29-05-2019 02:44,
0.2,29-05-2019 02:49,
0.2,29-05-2019 05:41,
0.2,29-05-2019 05:43,
0.2,29-05-2019 05:48,
0.2,29-05-2019 08:39,
0.2,29-05-2019 11:38,
0.2,29-05-2019 11:45,
0.4,29-05-2019 14:36,
0.4,29-05-2019 17:35,
0.4,29-05-2019 17:37,
0.4,29-05-2019 20:34,
0.4,29-05-2019 23:32,
0.2,30-05-2019 02:31,
0.2,30-05-2019 05:29,
0.2,30-05-2019 05:32,
0.2,30-05-2019 05:37,
0.2,30-05-2019 08:28,
0.2,30-05-2019 08:30,
0.2,30-05-2019 08:35,
0.4,30-05-2019 11:27,
0.4,30-05-2019 11:29,
0.4,30-05-2019 11:34,
0.4,30-05-2019 14:25,
0.4,30-05-2019 17:24,
0.4,30-05-2019 17:26,
0.4,30-05-2019 20:22,
0.4,30-05-2019 23:21,
0.4,31-05-2019 02:20,
0.4,31-05-2019 02:22,
0.4,31-05-2019 02:27,
0.4,31-05-2019 05:18,
0.4,31-05-2019 08:17,
0.4,31-05-2019 11:15,
0.4,31-05-2019 11:18,
0.4,31-05-2019 11:23,
0.4,31-05-2019 14:14,
0.4,31-05-2019 17:13,
0.4,31-05-2019 17:15,
0.4,31-05-2019 17:20,
0.4,31-05-2019 20:11,
0.4,31-05-2019 23:10,
0.4,31-05-2019 23:12,
0.4,31-05-2019 23:17,
0.4,01-06-2019 05:07,
0.4,01-06-2019 08:06,
0.4,01-06-2019 08:08,
0.4,01-06-2019 08:14,
0.4,01-06-2019 11:04,
0.4,01-06-2019 14:03,
0.4,01-06-2019 14:05,
0.4,01-06-2019 14:10,
0.4,01-06-2019 17:01,
0.4,01-06-2019 17:04,
0.4,01-06-2019 17:09,
0.4,01-06-2019 20:00,
0.4,01-06-2019 20:02,
0.4,01-06-2019 22:58,
0.4,02-06-2019 01:57,
0.4,02-06-2019 01:59,
0.4,02-06-2019 04:56,
0.4,02-06-2019 04:58,
0.4,02-06-2019 05:03,
0.4,02-06-2019 07:55,
0.4,02-06-2019 07:57,
0.4,02-06-2019 08:03,
0.4,02-06-2019 08:03,
0.4,02-06-2019 10:53,
0.4,02-06-2019 13:52,
0.4,02-06-2019 13:54,
0.4,02-06-2019 13:59,
0.4,02-06-2019 16:50,
0.4,02-06-2019 16:52,
0.4,02-06-2019 19:49,
0.4,02-06-2019 19:51,
0.4,02-06-2019 19:56,
0.4,02-06-2019 22:47,
0.4,03-06-2019 01:46,
0.4,03-06-2019 01:48,
0.4,03-06-2019 04:45,
0.4,03-06-2019 04:47,
0.4,03-06-2019 07:43,
0.4,03-06-2019 10:42,
0.4,03-06-2019 10:44,
0.4,03-06-2019 10:49,
0.4,03-06-2019 13:40,
0.4,03-06-2019 13:43,
0.4,03-06-2019 13:48,
0.4,03-06-2019 16:39,
0.4,03-06-2019 16:41,
0.4,03-06-2019 19:38,
0.4,03-06-2019 19:40,
0.4,03-06-2019 19:45,
0.4,03-06-2019 22:36,
0.4,03-06-2019 22:38,
0.4,04-06-2019 01:35,
0.4,04-06-2019 01:37,
0.4,04-06-2019 01:42,
